SampleDate,"Cadmium","Copper","Lead","Mercury","Nickel","Zinc"
2004-10-07,,1210.0,210.0,1.76,3230.0,2029.9999999999998
2004-11-18,20.0,1560.0,90.0,1.66,2820.0,10500.0
2005-02-24,10.0,2040.0,360.0,5.21,3690.0,3320.0
2005-04-18,,1130.0,150.0,3.46,2110.0,1710.0
2005-06-28,,1290.0,260.0,1.88,2450.0,1920.0
2008-10-06,20.0,4000.0,832.0000000000001,5.5,9490.0,9890.0
2009-02-23,30.0,5500.0,1420.0,18.4,13000.0,14300.0
2009-04-06,10.0,1040.0,60.0,1.25,3500.0,970.0
2009-07-20,10.0,680.0,66.0,0.966,4950.0,810.0
2010-09-30,,590.0,,1.3,4040.0,
2010-12-01,,1290.0,48.0,2.49,3000.0,890.0
2011-04-11,,890.0,81.0,1.51,2860.0,
2011-06-02,,1480.0,,2.18,2560.0,1370.0
2011-08-03,80.0,930.0,114.0,0.97,3790.0,
2011-10-12,40.0,3240.0,228.99999999999997,2.57,38400.0,30200.0
2011-11-29,30.0,1020.0,47.0,1.29,3280.0,870.0
2017-11-09,100.0,11500.0,4420.0,19.0,12200.0,47700.0
2017-11-16,70.0,9460.0,4820.0,25.5,10700.0,48300.0
